filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,H_strg,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u_star,TKE,L,(z-d)/L,bowen_ratio,T_star,model,x_peak,x_offset,x_10,x_30,x_50,x_70,x_90,un_Tau,Tau_scf,un_H,H_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,u_var,v_var,w_var,ts_var,w/ts_cov,u_mean,v_mean,w_mean,ts_mean,u_mean.1,v_mean.1,w_mean.1,ts_mean.1
FINO_MGC__2006_02_01_00_10.txt,2006-02-01,00:10,32.0069,0,5997,5997,0.168648,1,2.21317,2,-9999.0,274.201,274.201,101300.0,1.28706,1005.17,0.0225045,-9999,-9999,-9999,657.536,-9999,-9999,-9999,-9999,-0.861665,3.31541,-0.0649789,3.42617,-5.84876e-14,2.91612e-15,3.42617,5.10426,327.696,104.569,-1.08671,-9999,0.361986,0.697322,-1883.26,-0.0212397,-9999,-0.00472589,0,961.527,-145.915,330.061,821.899,1253.45,1757.98,2633.77,0.143324,1.17669,1.9908,1.1117,800009999,800009999,800009999,800009999,800009999,800019999,899999999,899999999,89999,89999,89,89,0,0,0,1,0.379183,0.844058,0.171404,0.00103485,0.00153882,-2.02719,2.5149,-0.071353,272.987,-1.52128,-2.98515,0.01191,273.783
FINO_MGC__2006_02_01_01_10.txt,2006-02-01,01:10,32.0486,0,5997,5997,0.0470309,1,5.36666,1,-0.945407,274.057,274.057,101300.0,1.28773,1005.17,0.0224927,-9999,-9999,-9999,650.759,-9999,-9999,-9999,-9999,0.153272,1.92949,-0.00583602,1.93558,-6.89952e-15,1.59144e-14,1.93558,4.00474,343.256,85.4582,-0.172754,-9999,0.191108,0.602442,-114.283,-0.350009,-9999,-0.021695,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0365635,1.28628,4.54783,1.18005,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,2,0.540632,0.415005,0.249248,0.000798466,0.00351348,-1.0272,1.98718,-0.0261068,272.797,-1.45552,-1.58613,0.0402372,273.673
FINO_MGC__2006_02_01_02_10.txt,2006-02-01,02:10,32.0902,0,5997,5997,0.181601,1,13.3926,1,0.601838,273.719,273.719,101300.0,1.28932,1005.17,0.022465,-9999,-9999,-9999,635.076,-9999,-9999,-9999,-9999,0.0739078,1.97361,-0.0311606,1.97524,-2.18954e-14,4.63431e-15,1.97524,3.23284,343.879,87.8554,-0.903912,-9999,0.375299,0.368082,-346.829,-0.115331,-9999,-0.0275352,0,1011.2,-153.454,347.113,864.36,1318.2,1848.8,2769.84,0.141705,1.28154,11.3777,1.1771,800009999,800009999,800009999,800009999,800009999,800019999,899999999,899999999,89999,89999,89,89,0,2,0,1,0.148297,0.425423,0.162443,0.00174227,0.00877915,-0.815747,1.95434,0.0216607,272.288,-1.44629,-1.37131,0.0561923,273.286
FINO_MGC__2006_02_01_03_10.txt,2006-02-01,03:10,32.1319,0,5997,5997,-0.182628,1,3.20548,1,-0.0490319,273.747,273.747,101300.0,1.28919,1005.17,0.0224673,-9999,-9999,-9999,636.364,-9999,-9999,-9999,-9999,-1.5887,0.48983,0.00435218,1.66251,2.88392e-14,-1.49868e-14,1.66251,3.46281,264.954,162.864,0.149992,-9999,0.376379,0.505511,-1461.6,-0.0273672,-9999,-0.00657223,0,970.274,-147.243,333.064,829.375,1264.85,1773.97,2657.73,-0.137928,1.32409,2.6634,1.20353,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,3,0.482277,0.347587,0.181158,0.000377732,0.00205532,-1.56318,-0.049927,-0.0513489,272.374,0.63849,-1.44178,0.030632,273.309
FINO_MGC__2006_02_01_04_10.txt,2006-02-01,04:10,32.1735,0,5997,5997,0.0966746,0,1.6898,1,-7.63337,273.597,273.597,101300.0,1.2899,1005.17,0.0224549,-9999,-9999,-9999,629.481,-9999,-9999,-9999,-9999,-0.705738,0.941993,-0.0682751,1.17902,1.46425e-14,5.20052e-15,1.17902,2.93025,303.41,126.84,-3.31977,-9999,0.273765,0.291124,-1066.95,-0.0374899,-9999,-0.00476063,0,944.649,-143.354,324.267,807.471,1231.44,1727.12,2587.54,0.0678151,1.42556,1.33454,1.2662,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,1,0,0,0,0.304809,0.174962,0.102476,0.00122389,0.00102929,-1.22695,0.378265,-0.0517243,272.147,-0.0571743,-1.28071,-0.0331856,273.149
FINO_MGC__2006_02_01_05_10.txt,2006-02-01,05:10,32.2152,0,6000,6000,-0.142395,1,6.85305,1,-2.40144,273.402,273.402,101300.0,1.29082,1005.16,0.0224389,-9999,-9999,-9999,620.663,-9999,-9999,-9999,-9999,-0.583569,1.58543,-0.055648,1.69033,1.29869e-14,-2.12747e-14,1.69033,3.19262,323.348,110.208,-1.88659,-9999,0.332135,0.39806,-469.792,-0.0851441,-9999,-0.0159026,0,850.189,-129.02,291.842,726.729,1108.31,1554.42,2328.8,-0.107894,1.31977,5.70684,1.20085,800009999,800009999,800009999,800009999,800019999,810019999,899999999,899999999,89999,89999,89,89,1,0,0,1,0.227817,0.372019,0.196282,0.000878446,0.0043984,-1.4047,1.25122,-0.0964765,271.772,-0.684941,-1.77327,-0.0202913,272.992
FINO_MGC__2006_02_01_06_10.txt,2006-02-01,06:10,32.2569,0,6000,6000,-0.140682,1,7.36078,1,-6.13955,273.271,273.271,101300.0,1.29144,1005.16,0.0224282,-9999,-9999,-9999,614.785,-9999,-9999,-9999,-9999,-1.89106,1.79144,0.0581733,2.60553,2.6521e-15,5.40615e-15,2.60553,4.43039,295.73,136.55,1.27934,-9999,0.330052,0.419214,-429.21,-0.0931945,-9999,-0.0171803,0,918.027,-139.314,315.129,784.716,1196.74,1678.45,2514.62,-0.114995,1.22337,6.45198,1.14086,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,2,0,0,3,0.342043,0.336404,0.159981,0.00118808,0.00497031,-2.5407,0.964011,0.0589958,271.638,0.110433,-2.73844,0.154473,272.706
FINO_MGC__2006_02_01_07_10.txt,2006-02-01,07:10,32.2985,0,6000,6000,-0.0937428,1,4.1737,0,1.2028,273.275,273.275,101300.0,1.29142,1005.16,0.0224285,-9999,-9999,-9999,614.992,-9999,-9999,-9999,-9999,-0.624802,2.69273,-0.033515,2.76447,4.65504e-14,-6.49943e-15,2.76447,3.87717,329.125,103.063,-0.69464,-9999,0.269424,0.436822,-411.747,-0.0971469,-9999,-0.0119339,0,754.266,-114.463,258.915,644.736,983.262,1379.04,2066.05,-0.0773182,1.21243,3.68044,1.13402,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,3,0.144462,0.55496,0.174221,0.000677333,0.00283529,-1.75733,2.23971,0.0296619,271.529,-1.45082,-2.44294,0.0713158,272.639
FINO_MGC__2006_02_01_08_10.txt,2006-02-01,08:10,32.3402,0,6000,6000,0.148295,1,3.05336,1,-2.81016,273.209,273.209,101300.0,1.29173,1005.16,0.0224231,-9999,-9999,-9999,612.05,-9999,-9999,-9999,-9999,-0.900943,2.32537,-0.0994973,2.49578,-1.69743e-14,3.25503e-15,2.49578,3.96743,321.408,111.178,-2.28477,-9999,0.338827,0.313223,-1119.44,-0.0357323,-9999,-0.00694055,0,864.073,-131.126,296.608,738.596,1126.41,1579.8,2366.83,0.120404,1.23164,2.66433,1.14602,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,0,0.257323,0.172957,0.196165,0.000565676,0.00205202,-1.57808,1.26179,-0.166799,271.421,-0.652773,-2.23989,-0.0656102,272.425
FINO_MGC__2006_02_01_09_10.txt,2006-02-01,09:10,32.3818,1,6000,6000,0.105055,1,9.40196,1,0.215008,273.114,273.114,101300.0,1.29218,1005.16,0.0224153,-9999,-9999,-9999,607.805,-9999,-9999,-9999,-9999,-0.647462,0.825045,0.0845281,1.05216,-1.88628e-14,7.19864e-16,1.05216,2.17255,306.638,128.123,4.60795,-9999,0.285133,0.224311,-216.654,-0.184626,-9999,-0.0253871,0,798.985,-121.249,274.266,682.96,1041.56,1460.8,2188.54,0.0717325,1.46454,7.28759,1.29013,800009999,800009999,800009999,800009999,800009999,810009999,899999999,899999999,89999,89999,89,89,0,0,0,4,0.16138,0.11828,0.168962,0.000584762,0.00561081,-0.941539,0.609343,-0.161974,271.458,-0.0877169,-1.00818,-0.000546082,272.399
