filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,H_strg,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u_star,TKE,L,(z-d)/L,bowen_ratio,T_star,model,x_peak,x_offset,x_10,x_30,x_50,x_70,x_90,un_Tau,Tau_scf,un_H,H_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,u_var,v_var,w_var,ts_var,w/ts_cov,u_mean,v_mean,w_mean,ts_mean,u_mean.1,v_mean.1,w_mean.1,ts_mean.1
FINO_MGC__2006_02_01_00_20.txt,2006-02-01,00:20,32.0138,0,5997,5997,0.119254,1,2.48538,1,-4.55602,274.148,274.148,101300.0,1.28731,1005.17,0.0225001,-9999,-9999,-9999,655.039,-9999,-9999,-9999,-9999,-1.44731,2.23037,0.0626156,2.65954,1.23944e-14,1.31653e-14,2.65954,3.71563,308.625,122.98,1.34908,-9999,0.304366,0.375875,-996.883,-0.0401251,-9999,-0.00631065,0,1074.76,-163.099,368.93,918.689,1401.06,1965.0,2943.93,0.0977874,1.21952,2.18312,1.13845,800009999,800009999,800009999,800009999,800009999,800019999,899999999,899999999,89999,89999,89,89,1,2,0,15,0.202153,0.457858,0.091739,0.000541449,0.00168715,-2.09755,1.54374,0.053035,272.906,-0.538121,-2.58701,0.131845,273.734
FINO_MGC__2006_02_01_01_20.txt,2006-02-01,01:20,32.0555,0,5997,5997,0.0445102,0,4.53229,0,-2.28626,274.03,274.03,101300.0,1.28786,1005.17,0.0224905,-9999,-9999,-9999,649.517,-9999,-9999,-9999,-9999,0.0220621,1.9933,-0.0641125,1.99446,-7.78988e-15,-3.40866e-15,1.99446,3.50218,339.897,89.3659,-1.84211,-9999,0.185907,0.357043,-124.572,-0.3211,-9999,-0.0188328,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0347928,1.2793,3.85496,1.17571,800009999,800009999,800009999,800009999,800019999,800019999,899999999,899999999,89999,89999,89,89,0,0,0,1,0.407232,0.214448,0.0924054,0.000434588,0.00297791,-0.823659,1.81684,0.0273088,272.782,-1.29525,-1.45821,0.0438292,273.665
FINO_MGC__2006_02_01_02_20.txt,2006-02-01,02:20,32.0972,0,5997,5997,-0.00775421,2,6.50521,1,0.697626,273.727,273.727,101300.0,1.28929,1005.17,0.0224656,-9999,-9999,-9999,635.447,-9999,-9999,-9999,-9999,-0.0161216,1.64028,-0.158577,1.64801,5.18575e-15,7.24824e-15,1.64801,3.23051,339.179,90.5631,-5.52176,-9999,0.0775522,0.417929,-6.30042,-6.34878,-9999,-0.0647261,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.00584607,1.3264,5.3987,1.20496,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,1,0,0,0,0.4735,0.145645,0.216712,0.00114926,0.00416583,-0.888068,1.69327,-0.332618,272.305,-1.17889,-1.39364,-0.200214,273.299
FINO_MGC__2006_02_01_03_20.txt,2006-02-01,03:20,32.1388,0,5997,5997,0.119618,1,11.1002,1,-0.32687,273.743,273.743,101300.0,1.28921,1005.17,0.0224669,-9999,-9999,-9999,636.19,-9999,-9999,-9999,-9999,-0.925876,0.963698,0.234403,1.3568,-3.17246e-14,1.54779e-14,1.3568,3.00052,299.596,133.853,9.94845,-9999,0.304605,0.441471,-223.731,-0.178786,-9999,-0.0281212,0,884.81,-134.273,303.727,756.322,1153.44,1617.71,2423.63,0.0866009,1.38126,8.95971,1.2389,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,0,0.186926,0.546603,0.149414,0.0012832,0.00691404,-1.23572,0.257274,0.348914,272.368,0.0190301,-1.28407,0.337065,273.302
FINO_MGC__2006_02_01_04_20.txt,2006-02-01,04:20,32.1805,0,5997,5997,-0.0199438,0,2.06788,0,-1.543,273.579,273.579,101300.0,1.28998,1005.16,0.0224535,-9999,-9999,-9999,628.669,-9999,-9999,-9999,-9999,-1.84763,0.985645,0.202938,2.10391,1.83813e-14,8.06292e-16,2.10391,3.40518,279.95,151.922,5.53522,-9999,0.12434,0.230424,-81.6875,-0.489671,-9999,-0.012826,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0157382,1.26722,1.77016,1.16819,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,2,3,0,3,0.118717,0.27287,0.0692609,0.000598649,0.00136518,-1.93504,0.00513581,0.228648,272.159,0.598999,-1.94557,0.297963,273.185
FINO_MGC__2006_02_01_05_20.txt,2006-02-01,05:20,32.2221,0,5997,5997,0.186141,1,13.7035,1,-4.00155,273.356,273.356,101300.0,1.29104,1005.16,0.0224351,-9999,-9999,-9999,618.585,-9999,-9999,-9999,-9999,-1.74187,0.823386,0.0585323,1.92757,-4.72518e-14,-5.98505e-15,1.92757,4.14822,276.174,154.7,1.74011,-9999,0.37971,0.432231,-351.049,-0.113944,-9999,-0.0278103,0,977.851,-148.393,335.665,835.853,1274.73,1787.82,2678.49,0.144603,1.28726,11.6067,1.18065,800009999,800009999,800009999,800009999,800009999,800019999,899999999,899999999,89999,89999,89,89,0,0,0,0,0.339777,0.343858,0.180827,0.00164473,0.00894407,-1.94691,0.153728,-0.0748219,271.758,0.644354,-1.86549,0.0840484,272.915
FINO_MGC__2006_02_01_06_20.txt,2006-02-01,06:20,32.2638,0,5997,5997,0.0933638,1,3.59874,1,3.91531,273.316,273.316,101300.0,1.29123,1005.16,0.0224319,-9999,-9999,-9999,616.807,-9999,-9999,-9999,-9999,-1.76033,2.03541,-0.0879424,2.69247,-4.1095e-15,-2.54541e-16,2.69247,3.88766,300.984,130.855,-1.87175,-9999,0.268898,0.410205,-474.745,-0.0842558,-9999,-0.0103116,0,773.682,-117.409,265.58,661.332,1008.57,1414.54,2119.24,0.0767008,1.21725,3.16503,1.13703,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,1,0,0,6,0.188473,0.469077,0.162859,0.00111055,0.0024386,-2.27283,1.27356,-0.135569,271.648,-0.215336,-2.66033,-0.0936371,272.72
FINO_MGC__2006_02_01_07_20.txt,2006-02-01,07:20,32.3055,0,5997,5997,0.0254254,1,8.20739,1,-3.2883,273.237,273.237,101300.0,1.2916,1005.16,0.0224254,-9999,-9999,-9999,613.299,-9999,-9999,-9999,-9999,-1.5927,1.81197,0.0407035,2.4128,-6.9359e-14,3.01457e-15,2.4128,4.27644,304.032,131.315,0.966617,-9999,0.140304,0.778184,-29.57,-1.35272,-9999,-0.0450581,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0205319,1.23834,7.1357,1.15019,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,2,0,0.552053,0.825554,0.178761,0.00182276,0.00549635,-2.19738,1.06526,0.0233004,271.52,-0.154441,-2.44553,0.0918565,272.538
FINO_MGC__2006_02_01_08_20.txt,2006-02-01,08:20,32.3471,1,5997,5997,0.28067,1,8.66252,1,-5.18172,273.149,273.149,101300.0,1.29201,1005.16,0.0224182,-9999,-9999,-9999,609.396,-9999,-9999,-9999,-9999,-0.479325,1.35619,-0.472418,1.514,-3.64849e-14,-6.62351e-15,1.514,3.50124,324.138,109.465,-18.1818,-9999,0.466085,0.374428,-1027.06,-0.0389462,-9999,-0.0143113,0,1064.7,-161.573,365.478,910.092,1387.95,1946.62,2916.38,0.207991,1.34944,7.10489,1.21923,800009999,800009999,800009999,800009999,800009999,800019999,899999999,899999999,89999,89999,89,89,1,1,0,3,0.365487,0.163126,0.220243,0.000480489,0.00547086,-0.95104,0.786296,-0.753139,271.364,-0.45857,-1.25218,-0.639495,272.38
FINO_MGC__2006_02_01_09_20.txt,2006-02-01,09:20,32.3888,1,5997,5997,-0.112205,1,9.69205,0,1.73708,273.134,273.134,101300.0,1.29209,1005.16,0.0224169,-9999,-9999,-9999,608.692,-9999,-9999,-9999,-9999,-0.685804,0.797281,0.0624379,1.05351,2.8656e-14,4.08535e-15,1.05351,2.52299,296.825,130.701,3.39771,-9999,0.294687,0.297574,-232.013,-0.172404,-9999,-0.0253238,0,1020.38,-154.847,350.264,872.207,1330.17,1865.58,2794.98,-0.0766384,1.46409,7.51406,1.28986,800009999,800009999,800009999,800009999,800019999,800019999,899999999,899999999,89999,89999,89,89,0,0,0,2,0.418651,0.0785808,0.0979168,0.0032454,0.0057856,-0.729345,0.407302,0.0304597,271.51,-0.0364346,-0.95456,0.044168,272.407
